2017-01-05 11:27:59 | ::1 | /phpk8/index.php |[错误代码：8]Undefined variable: err
2017-01-05 11:29:34 | ::1 | /phpk8/index.php |[错误代码：2]Cannot modify header information - headers already sent by (output started at /Users/tangtao/Sites/phpk8/frame/Core/Error.class.php:24)
2017-01-05 11:32:10 | ::1 | /phpk8/index.php |[错误代码：8]Undefined variable: message
2017-01-05 12:18:54 | ::1 | /phpk8/index.php |[错误代码：2]Missing argument 3 for Core\Factory::showSqlError(), called in /Users/tangtao/Sites/phpk8/frame/Driver/Db/Mysql.class.php on line 230 and defined
2017-01-05 12:19:47 | ::1 | /phpk8/index.php |[错误代码：2]Missing argument 3 for Core\Factory::showSqlError(), called in /Users/tangtao/Sites/phpk8/frame/Driver/Db/Mysql.class.php on line 230 and defined
2017-01-05 12:20:13 | ::1 | /phpk8/index.php |[错误代码：2]Missing argument 3 for Core\Factory::showSqlError(), called in /Users/tangtao/Sites/phpk8/frame/Driver/Db/Mysql.class.php on line 230 and defined
2017-01-05 12:22:36 | ::1 | /phpk8/index.php |[错误代码：2]Missing argument 3 for Core\Factory::showSqlError(), called in /Users/tangtao/Sites/phpk8/frame/Driver/Db/Mysql.class.php on line 230 and defined
2017-01-05 12:23:33 | ::1 | /phpk8/index.php |[错误代码：8]Undefined variable: errorFile
2017-01-05 12:24:05 | ::1 | /phpk8/index.php |[错误代码：8]Undefined variable: errorFile
2017-01-05 12:44:12 | ::1 | /phpk8/index.php |SQLState:42S02@@SQLError:1146@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 12:45:06 | ::1 | /phpk8/index.php |SQL错误：SQLState:42S02@@SQLError:1146@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 12:51:40 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 12:52:49 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 12:53:12 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 12:55:17 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 12:55:35 | ::1 | /phpk8/index.php |[致命错误：20行]Call to undefined function app\home\controller\Tabledd()
2017-01-05 12:55:35 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: traceTr
2017-01-05 12:56:59 | ::1 | /phpk8/index.php |[致命错误：20行]Call to undefined function app\home\controller\Tabledd()
2017-01-05 12:56:59 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: trace
2017-01-05 12:58:57 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined index: file
2017-01-05 13:01:51 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: message
2017-01-05 13:02:11 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: message
2017-01-05 13:02:53 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: message
2017-01-05 13:03:28 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: message
